smiles,Tm,num_atms,dipole,quadrupole
ClC1=C(Br)C=C(S1)S(Cl)(=O)=O,337.15,12,3.45806857219,8.90454993416
ClC1=C2C=CC=CC2=C(C=C1)S(Cl)(=O)=O,364.15,21,4.25835318756,17.1641195073
BrC1=CC2=C(N3CN(C2)C2=C(C3)C=C(Br)C=C2Br)C(Br)=C1,498.33,31,1.16073450453,10.9190731195
O=C1CCCCCCCCCCCCCC1,337.15,44,2.73098027455,11.4848521488
CC1=NN(N=C1C(N)=O)C1=CC=CC=C1,449.15,25,3.69958690261,23.0099493209
CCCCCOC(C)=O,202.35,23,1.87955510427,8.82573173737
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,458.15,50,2.44569430019,4.1248552314
[O-][N+](=O)C1=CN=C(C=C1)N1CCNCC1,402.15,27,6.74837090119,36.9593047932
CCN(CC1=CC=C(Cl)N=C1)C(NC)=CN(=O)=O,356.65,33,8.77946337483,33.3808730427
OCCN1C(CSC2=NN=C(O2)C2=CC3=C(OCO3)C=C2)=NC2=C1C=C(Cl)C=C2,476.15,44,3.66558033877,39.2426579031
CC1=C(C)C(=O)NC(=N1)C1=CN=C(Cl)C=C1,537.15,26,3.50063357266,7.57147585679
OC(=O)CC1CCC2=C1C=CC=C2,332.15,25,4.20744405192,14.9502899878
CN(C)C(=O)COC1=CC(N)=CC=C1,374.15,28,2.65896610546,14.4639145141
N#CC1=CC=C(OCCN2CCOCC2)C=C1,361.65,33,5.20695455041,46.5713865037
[O-][N+](=O)C1=CC(=CC=C1)C1=CC=CC=C1,333.65,24,4.83919460344,15.7388731677
CC1=CN=C(NC(=O)C2CCCNC2)C=C1,418.15,33,5.67302086811,11.5701050734
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)[N+]([O-])=O,551.15,36,0.0,86.5446811748
COC(=O)C1=C(N)C=C(S1)C1=CC=C(Cl)C=C1,413.15,27,1.40819128317,15.2589824438
ClS(=O)(=O)C1=CC=C(C=C1)C#N,382.15,16,0.924153829186,22.4513364408
COC(=O)C1=CC=C(I)C=C1O,342.15,19,2.66438085491,12.5885800017
OC(=O)C1=CC(=C(Cl)C=C1)S(=O)(=O)N1CCCCC1,492.15,33,2.52916588226,37.6743658229
CN1CCN(CC1)C1=NC=CC(CN)=C1,346.15,33,1.07835748247,7.9958960461
CC1=NN(CCO)C2=C1C=C(Br)C=N2,384.15,24,1.79144843353,15.9618066866
OC(CNCC1=CC=CC=C1)C(F)(F)F,332.15,27,4.2593261298,12.7195303899
FC1=C(F)C=C(NS(=O)(=O)C2=CN=C(Cl)C=C2)C=C1,433.15,26,2.75587502801,23.9281492774
BrCC1=C2C=CC=CC2=CC=C1,323.15,21,2.3712649135,11.4760518394
OC(=O)C1=CC=C(Cl)C=C1,515.15,15,3.33711120282,23.5217073366
BrC1=C2CCNC(=O)C2=CC=C1,383.15,20,2.36109086865,16.7376546911
OC(=O)C1=CC(NC(=O)C2=CC=C(Br)C=C2)=CC=C1,580.15,29,3.73308037149,29.4559011942
CN(C)C1=CC=C(C=C(/C(N)=O)C2=NC3=C(S2)C=CC=C3)C=C1,483.15,40,7.64405415535,21.7881534929
CCC1=CC(=C(O)C(CC2=CC(CC)=CC(=C2O)C(C)(C)C)=C1)C(C)(C)C,393.15,63,1.04165739569,6.3197756938
CC1=NOC(=N1)C1=CC=C(Br)C=C1,370.65,20,1.05653522894,8.65997475574
CCCNS(=O)(=O)C1=CC(=CC=C1)C(O)=O,473.15,29,5.72990120421,16.5974524497
CN1N=C(C)C=C1N1CCCC(N)C1=O,362.15,31,4.78427730175,14.1085024003
ClS(=O)(=O)C1=CSC(=N1)C1=CC=CC=C1,360.15,21,6.39428376755,19.3391598985
OC(=O)C1CSCN1C(=O)C1CCC1,389.15,27,1.22347657517,14.4941378481
O=CC1=CN=C(S1)N1CCOCC1,437.15,23,4.87455546281,18.4703789195
CC(C)N(C)S(=O)(=O)C1=CC(N)=C(C)C=C1,391.15,34,5.2281169765,21.5234724487
NC1=C(N=CN=C1)N1CCCC1,430.15,24,3.88937459754,11.2282806119
CC(=O)N[C@@H](CC(O)=O)C(N)=O,433.15,22,3.43725538911,11.9030190742
CN(C)C(=O)C1=CC(=CC=C1)S(N)(=O)=O,395.15,27,4.15860998893,19.0231658333
